ra,dec,d
67.47921,45.84036,259.7358
66.16306,47.95753,259.09
64.71308,50.06338,258.8777
63.11207,52.14649,259.1014
61.3407,54.19439,259.761
59.37731,56.19452,260.8541
57.19839,58.13379,262.376
54.7785,59.99851,264.3196
52.09156,61.77476,266.6758
49.11197,63.44848,269.4337
45.81605,65.00525,272.5806
42.18674,66.43094,276.103
38.21581,67.71148,279.9859
33.90978,68.83396,284.2136
29.29436,69.78735,288.7701
24.41748,70.56289,293.6386
19.35139,71.15601,298.8031
14.18654,71.56627,304.2469
9.02626,71.79858,309.9542
3.97363,71.86271,315.9093
359.12214,71.77243,322.0971
354.54573,71.54453,328.5034
350.2955,71.19716,335.1144
346.39971,70.74855,341.9173
342.86639,70.21613,348.9001
339.68886,69.61577,356.0516
336.85009,68.96131,363.3614
334.32734,68.26465,370.8202
332.09402,67.53571,378.4192
330.12352,66.78284,386.1507
328.38984,66.01263,394.0079
326.86857,65.23052,401.9846
325.53686,64.4409,410.0757
324.3744,63.64729,418.2765
323.36274,62.85231,426.5835
322.48548,62.05829,434.9932
321.72795,61.26695,443.5038
321.07715,60.47969,452.1131
320.52106,59.69764,460.82
320.04956,58.92174,469.624
319.65291,58.15282,478.5248
319.32271,57.39157,487.5225
319.05148,56.63881,496.6179
318.83195,55.89508,505.8115
318.65786,55.16104,515.1043
318.52336,54.4374,524.4973
318.42283,53.72493,533.9914
318.35122,53.02444,543.5877
318.30386,52.33671,553.2867
318.27616,51.6628,563.0888
318.26396,51.00368,572.9939
318.26324,50.36037,583.0014
318.27012,49.73411,593.1102
318.281,49.1262,603.3186
318.29238,48.53789,613.624
318.30079,47.97046,624.0232
318.30311,47.42537,634.512
318.2962,46.90411,645.0859
318.27701,46.40805,655.7394
318.24245,45.93861,666.4661
318.18998,45.49725,677.2596
318.11689,45.08518,688.1129
318.02063,44.70382,699.0187
317.89885,44.35418,709.9698
317.74927,44.0373,720.9594
317.57015,43.75393,731.9809
317.35945,43.50475,743.0291
317.1157,43.29004,754.0994
316.83799,43.10965,765.1889
316.52553,42.96346,776.2961
316.17795,42.85065,787.4215
315.79559,42.77,798.5674
315.37932,42.72001,809.7377
314.93096,42.6985,820.9385
314.45276,42.70278,832.177
313.94824,42.72974,843.4612
313.42168,42.77567,854.7996
312.87846,42.83627,866.2004
312.32531,42.90704,877.6706
311.76976,42.98285,889.2152
311.22069,43.05818,900.8363
310.68775,43.12751,912.5326
310.18116,43.18504,924.2995
309.71211,43.22497,936.1284
309.2915,43.24176,948.0077
308.93004,43.23036,959.9241
308.63739,43.18594,971.8634
308.42192,43.10454,983.8132
308.28933,42.9834,995.7642
308.24293,42.8206,1007.7129
308.28202,42.61631,1019.6621
308.40195,42.37209,1031.6222
308.59396,42.092,1043.6092
308.8441,41.78239,1055.6428
309.13438,41.45242,1067.7426
309.44278,41.11367,1079.923
309.74425,40.78044,1092.1886
310.01162,40.46848,1104.5322
310.21779,40.19464,1116.9337
310.33692,39.97489,1129.3645
310.3477,39.82302,1141.7953
310.23479,39.74836,1154.2063
309.99244,39.75384,1166.5963
309.6273,39.83433,1178.9865
309.1602,39.9753,1191.4153
308.62867,40.15317,1203.9243
308.08558,40.33652,1216.5373
307.59585,40.48914,1229.2437
307.22745,40.57469,1241.9976
307.0406,40.56257,1254.7392
307.07074,40.43428,1267.4323
307.31568,40.19032,1280.0968
307.72428,39.85579,1292.8048
308.19877,39.48241,1305.6304
308.60898,39.14389,1318.5792
308.82041,38.92014,1331.5663
308.73398,38.87182,1344.4895
308.32779,39.0106,1357.3496
307.69217,39.27927,1370.2746
307.03535,39.55572,1383.3653
306.62847,39.69117,1396.529
306.68043,39.57586,1409.5917
307.18319,39.21231,1422.6059
307.83988,38.75768,1435.7965
308.18353,38.47834,1449.097
307.87924,38.57326,1462.2484
307.06171,38.95807,1475.4416
306.41064,39.24289,1488.8535
107.35334,-9.12247,1361.9756
107.31522,-9.16976,1356.519
107.27542,-9.21711,1351.0426
107.23388,-9.26444,1345.5465
107.19057,-9.31188,1340.0306
107.14539,-9.35926,1334.4953
107.09838,-9.40665,1328.9405
107.04945,-9.45411,1323.3662
106.99861,-9.50164,1317.7727
106.94585,-9.54923,1312.1599
106.89103,-9.59684,1306.528
106.83416,-9.64447,1300.8771
106.77527,-9.69221,1295.2073
106.71433,-9.73997,1289.5188
106.65119,-9.78792,1283.8115
106.58585,-9.83585,1278.0857
106.51837,-9.88383,1272.3416
106.44855,-9.93197,1266.5792
106.37657,-9.98016,1260.7986
106.30212,-10.02846,1255.0002
106.22543,-10.07685,1249.1839
106.14635,-10.12531,1243.3499
106.06488,-10.17381,1237.4986
105.98085,-10.22246,1231.6298
105.89443,-10.27116,1225.744
105.80544,-10.31999,1219.8412
105.71392,-10.36883,1213.9216
105.61983,-10.41781,1207.9854
105.52311,-10.46682,1202.0329
105.42373,-10.51602,1196.0642
105.32168,-10.56516,1190.0795
105.21701,-10.61434,1184.079
105.10948,-10.66356,1178.0629
104.99932,-10.71281,1172.0315
104.88631,-10.7621,1165.9848
104.77053,-10.81136,1159.9232
104.65198,-10.8606,1153.847
104.53058,-10.90987,1147.7561
104.40626,-10.95907,1141.6509
104.27903,-11.0082,1135.5317
104.14899,-11.05721,1129.3985
104.01608,-11.10622,1123.2515
103.88026,-11.15494,1117.091
103.74152,-11.20356,1110.9172
103.59982,-11.25202,1104.7304
103.4552,-11.30015,1098.5305
103.30767,-11.3482,1092.3178
103.15727,-11.39579,1086.0926
103.00385,-11.4431,1079.855
102.84761,-11.49004,1073.6049
102.68845,-11.53665,1067.3428
102.52637,-11.5827,1061.0685
102.36155,-11.62833,1054.7823
102.19376,-11.67331,1048.4843
102.02311,-11.71781,1042.1744
101.8498,-11.76161,1035.8529
101.67362,-11.80471,1029.5196
101.49476,-11.84701,1023.1749
101.31316,-11.88842,1016.8183
101.12887,-11.92903,1010.4502
100.94204,-11.96866,1004.0703
100.75261,-12.00722,997.6787
100.56069,-12.04467,991.2752
100.36627,-12.08099,984.8599
100.1695,-12.11602,978.4324
99.97025,-12.14971,971.9928
99.76878,-12.18192,965.5406
99.56516,-12.21274,959.0759
99.35924,-12.24191,952.5983
99.15131,-12.26929,946.1077
98.94133,-12.29503,939.6036
98.72949,-12.3188,933.0859
98.51579,-12.34062,926.5541
98.30029,-12.36035,920.0079
98.08304,-12.37786,913.447
97.86433,-12.39303,906.8708
97.64406,-12.4059,900.2791
97.4223,-12.41612,893.6712
97.19933,-12.42379,887.0468
96.97502,-12.42865,880.4054
96.74957,-12.43061,873.7465
96.52312,-12.42951,867.0694
96.29577,-12.42531,860.3737
96.06755,-12.41779,853.659
95.83855,-12.40693,846.9245
95.60887,-12.39247,840.1697
95.37867,-12.37423,833.394
95.14796,-12.35224,826.5968
94.91694,-12.3262,819.7776
94.68561,-12.29611,812.9358
94.45414,-12.26159,806.0708
94.22253,-12.22267,799.182
93.99093,-12.17916,792.269
93.75942,-12.13075,785.331
93.52803,-12.07752,778.3677
93.29698,-12.01897,771.3785
93.06619,-11.95516,764.3629
92.8358,-11.88593,757.3205
92.60596,-11.8109,750.2507
92.37661,-11.72991,743.1534
92.14779,-11.64284,736.028
91.91983,-11.54947,728.8743
91.69249,-11.44948,721.692
91.46593,-11.34282,714.4807
91.24018,-11.22907,707.2404
91.0153,-11.10812,699.971
90.79132,-10.97963,692.6723
90.56836,-10.84336,685.3443
90.34623,-10.69898,677.987
90.1252,-10.54638,670.6005
89.90506,-10.38515,663.1852
89.68602,-10.21487,655.7411
89.4679,-10.03542,648.2686
89.25079,-9.84635,640.7681
89.03472,-9.64733,633.2401
88.81959,-9.43798,625.6852
88.60542,-9.21799,618.104
88.39215,-8.98684,610.4973
88.17977,-8.74412,602.8659
87.96814,-8.48946,595.2108
87.75728,-8.2223,587.5331
87.54714,-7.94225,579.834
87.33769,-7.64865,572.1147
87.12864,-7.3411,564.3768
86.92003,-7.01891,556.6216
86.71182,-6.68154,548.8511
86.50376,-6.32822,541.0669
86.29575,-5.95854,533.2711
86.08765,-5.57155,525.466
85.87944,-5.16656,517.6536
85.67068,-4.74277,509.8367
85.46143,-4.29933,502.0179
85.25136,-3.83545,494.2001
85.04029,-3.35006,486.3864
84.82789,-2.84226,478.5802
84.61405,-2.311,470.785
84.39839,-1.75517,463.0047
84.18068,-1.17354,455.2434
83.9605,-0.56507,447.5057
83.73742,0.07172,439.796
83.51124,0.73801,432.1195
83.28137,1.43538,424.4817
83.04742,2.16519,416.8884
82.80887,2.92898,409.3457
82.56521,3.72834,401.8602
82.31573,4.56512,394.439
82.05983,5.44083,387.0898
81.79676,6.35737,379.8206
