ra,dec,d
118.6242801,-2.337645822,971.8328
118.6320877,-2.319538822,970.4811
118.6396738,-2.30144266,969.1279
118.6470386,-2.283357326,967.7732
118.6544044,-2.265272977,966.4172
118.6615023,-2.247113803,965.0598
118.6685134,-2.22900334,963.7009
118.6753446,-2.210770318,962.3407
118.682001,-2.192633715,960.979
118.6884775,-2.174374544,959.6159
118.6947793,-2.156211765,958.2513
118.7010358,-2.137964323,956.8853
118.7069831,-2.11977533,955.5179
118.7128386,-2.101416054,954.149
118.7185194,-2.083153117,952.7787
118.7240669,-2.064853197,951.4069
118.7293934,-2.046563971,950.0337
118.7345401,-2.028152138,948.659
118.7396002,-2.009788903,947.283
118.7444392,-1.991436321,945.9054
118.7490571,-1.973094372,944.5263
118.7535419,-1.954715375,943.1458
118.7578472,-1.936213728,941.7638
118.7619779,-1.917808263,940.3804
118.7659756,-1.899365716,938.9955
118.7697522,-1.880933717,937.6091
118.7733494,-1.862379021,936.2212
118.7767721,-1.843920424,934.8319
118.7800154,-1.825339102,933.4411
118.7830842,-1.806853836,932.0487
118.7858857,-1.788293428,930.655
118.7886006,-1.769781411,929.2597
118.7911362,-1.75114661,927.8629
118.7933631,-1.732569787,926.4647
118.795545,-1.713908124,925.0649
118.7974181,-1.695304382,923.6637
118.7991584,-1.676663354,922.2609
118.8006779,-1.658032599,920.8566
118.8020646,-1.639364518,919.4509
118.8031842,-1.620621085,918.0436
118.8042174,-1.60192586,916.6348
118.8048955,-1.58320278,915.2246
118.8054871,-1.564527854,913.8128
118.8058998,-1.545729914,912.3995
118.8060038,-1.526989587,910.9846
118.8059288,-1.50812619,909.5683
118.8056794,-1.489358374,908.1505
118.8052974,-1.470553013,906.7311
118.8045605,-1.451719533,905.3101
118.8036909,-1.432848445,903.8878
118.8026008,-1.413987226,902.4638
118.801378,-1.395088347,901.0384
118.7998467,-1.376246756,899.6114
118.7981366,-1.35728186,898.1829
118.796252,-1.338412263,896.7529
118.7941008,-1.319466768,895.3213
118.791729,-1.300530911,893.8883
118.7891786,-1.281471616,892.4537
118.7863657,-1.262554911,891.0175
118.7833742,-1.243514692,889.5799
118.7801623,-1.224483948,888.1407
118.7766837,-1.205377047,886.7
118.7730307,-1.186365114,885.2578
118.7691112,-1.167276929,883.814
118.7649712,-1.148198031,882.3688
118.7606988,-1.129080977,880.9219
118.7560719,-1.109934923,879.4736
118.7512245,-1.090798006,878.0237
118.7462447,-1.071622807,876.5723
118.7409104,-1.052418425,875.1194
118.7354438,-1.033175669,873.6649
118.7296687,-1.013989213,872.209
118.7236732,-0.994811637,870.7515
118.7174994,-0.975509942,869.2924
118.7110172,-0.956264362,867.8318
118.7044027,-0.936980178,866.3698
118.6974337,-0.917666365,864.9062
118.6902443,-0.898361154,863.441
118.6827887,-0.878978863,861.9744
118.6751127,-0.859605056,860.5062
118.6672164,-0.840239676,859.0366
118.6590538,-0.820797031,857.5654
118.6506709,-0.801362691,856.0926
118.6420677,-0.781936598,854.6184
118.6331101,-0.762480295,853.1427
118.6239744,-0.742899205,851.6655
118.6145762,-0.723459056,850.1867
118.6048659,-0.703855572,848.7065
118.5949813,-0.684345657,847.2248
118.5848304,-0.664757928,845.7415
118.5743253,-0.645139506,844.2568
118.5635998,-0.625528777,842.7705
118.5527423,-0.605878495,841.2828
118.5414423,-0.586244454,839.7935
118.5299644,-0.566485031,838.3028
118.5181781,-0.546780179,836.8106
118.5062596,-0.527035511,835.3169
118.4938988,-0.507306695,833.8218
118.48136,-0.487452209,832.3251
118.4685128,-0.467651952,830.827
118.4554454,-0.447858717,829.3273
118.4420661,-0.427900981,827.8262
118.4284242,-0.408082934,826.3237
118.4144704,-0.388100194,824.8197
118.4002965,-0.368124145,823.3143
118.3859022,-0.348154717,821.8074
118.3711538,-0.328153136,820.2991
118.3560512,-0.308119285,818.7892
118.3408165,-0.288044738,817.278
118.3251394,-0.267984759,815.7653
118.3092846,-0.247798141,814.2512
118.2931212,-0.227664627,812.7357
118.276692,-0.207451317,811.2187
118.2599085,-0.187205105,809.7003
118.2429048,-0.166964696,808.1805
118.2255469,-0.146691166,806.6593
118.207923,-0.126337427,805.1367
118.1899906,-0.106036163,803.6127
